fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
18249,Acer,saccharinum,pyramidalis,5,,"PELICAN, LE","19178",Acer saccharinum,(PELI-2),,,,,,,
18250,Acer,saccharum,,5,,PÈRE MARQUETTE,"19179",Acer saccharum,MARQ-1,Present,"9.8",5.8,,,true,true
18251,Larix,decidua,,5,,PÈRE MARQUETTE,"19180",Larix decidua,MARQ-1,Present,"7",4.5,,,true,false
18252,Tilia,cordata,sheridan,5,,PÈRE MARQUETTE,"19181",Tilia cordata,MARQ-1,Present,"16.6",6.3,,,true,true
18253,Alnus,glutinosa,,8,,PÈRE MARQUETTE,"19182",Alnus glutinosa,MARQ-1,Present,"16.1",6.9,,,true,true
18254,Alnus,glutinosa,,13,,PÈRE MARQUETTE,"19183",Alnus glutinosa,MARQ-1,Present,"15.8",7,,,true,true
18255,Syringa,reticulata,,4,,PÈRE MARQUETTE,"19184",Syringa reticulata,MARQ-1,Present,"9",3.7,,,true,true
18256,Amelanchier,canadensis,,5,,PÈRE MARQUETTE,"19185",Amelanchier canadensis,MARQ-1,Present,"4.5",3.3,,,true,true
24268,Ulmus,americana,brandon,5,,"PELICAN, LE","25230",Ulmus americana,(PELI-2),,,,,,,
24316,Tilia,cordata,,53,,PÈRE MARQUETTE,"25278",Tilia cordata,MARQ-2,Present,"53.6",10.1,,,true,true
24317,Tilia,cordata,,79,,PÈRE MARQUETTE,"25279",Tilia cordata,MARQ-2,Present,"84.15",16.7,,,true,true
24318,Tilia,cordata,sheridan,24,,PÈRE MARQUETTE,"25280",Tilia cordata,MARQ-2,Present,"31.3",12.9,,,true,true
24319,Tilia,cordata,sheridan,29,,PÈRE MARQUETTE,"25281",Tilia cordata,MARQ-2,Present,"41.5",15.1,,,true,
24320,Picea,pungens,glauca,33,,PÈRE MARQUETTE,"25282",Picea pungens,MARQ-2,Present,"39.2",11,,,true,true
24321,Pinus,nigra,austriaca,33.2,,PÈRE MARQUETTE,"25283",Pinus nigra,MARQ-2,Present,"26.7,31.2",7.2,,,true,true
24322,Tilia,cordata,sheridan,28,,PÈRE MARQUETTE,"25284",Tilia cordata,MARQ-2,Present,"41.1",16.2,,,true,true
24323,Tilia,cordata,sheridan,30,,PÈRE MARQUETTE,"25285",Tilia cordata,MARQ-2,Present,"44.1",17.2,,,true,true
24324,Tilia,cordata,sheridan,24,,PÈRE MARQUETTE,"25286",Tilia cordata,MARQ-2,Present,"35.6",13.7,,,true,true
24325,Tilia,cordata,sheridan,31,,PÈRE MARQUETTE,"25287",Tilia cordata,MARQ-2,Present,"39.4",13.2,,,true,true
24326,Picea,pungens,glauca,31,,PÈRE MARQUETTE,"25288",Picea pungens,MARQ-2,Present,"37.25",10.7,,,true,true
24327,Pinus,nigra,austriaca,38.8,,PÈRE MARQUETTE,"25289",Pinus nigra,MARQ-2,Present,"29.4,24.9,22.2,20.4",5.4,,,true,true
24328,Fraxinus,pennsylvanica,,51,,PÈRE MARQUETTE,"25290",Fraxinus pennsylvanica,MARQ-2,Present,"57.9",21.4,,,true,true
24329,Tilia,cordata,sheridan,30,,PÈRE MARQUETTE,"25291",Tilia cordata,MARQ-2,Present,"41.8",17.2,,,true,true
24330,Acer,saccharinum,,49,,PÈRE MARQUETTE,"25292",Acer saccharinum,MARQ-2,Present,"52.7",16.2,,,true,true
