fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH,species_clean
204,,LOYO-1,"100",20,Acer saccharinum,,,,Unknown,false,false,Acer saccharinum
205,,LOYO-1,"60",20,Acer saccharinum,,,,Unknown,false,false,Acer saccharinum
206,,LOYO-1,"5,5,2,2,1",2.5,Thuja occidentalis,,,,Unknown,true,false,Thuja occidentalis
207,,LOYO-1,"5,5,2,3,3",2.5,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
208,,LOYO-1,"5,5,2,2",2.5,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
209,,LOYO-1,"5,5,2",2.5,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
210,,LOYO-1,"5,3,2,1,1,3,2,1",2.5,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
211,,LOYO-1,"6",3.7,Thuja occidentalis,,,,Unknown,true,false,Thuja occidentalis
212,,LOYO-1,"6,4,2,2",2.7,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
213,,LOYO-1,"7,7,1",2.7,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
214,,LOYO-1,"4,4,5,5,2",2.7,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
215,,LOYO-1,"5,7,6",2.7,Thuja occidentalis,,,,Unknown,false,true,Thuja occidentalis
216,,LOYO-1,"5,5,2",2.7,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
217,,LOYO-1,"5,5,2,2,1,1,3",4.2,Thuja occidentalis,,,,Unknown,true,false,Thuja occidentalis
218,,LOYO-1,"5,5,5,2,2,1",4.2,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
219,,LOYO-1,"15.9",,Thuja occidentalis,Get height,,,Unknown ,false,true,Thuja occidentalis
220,,LOYO-1,"14.8",,Thuja occidentalis,Get height,,,Unknown ,false,true,Thuja occidentalis
221,,LOYO-1,"2.5",,Thuja occidentalis,Get height ,,,Unknown ,false,true,Thuja occidentalis
222,,LOYO-1,"18",,Thuja occidentalis,Get height ,,,Unknown,false,true,Thuja occidentalis
223,,LOYO-1,"13",,Thuja occidentalis,Get height,,,Unknown,false,true,Thuja occidentalis
224,,LOYO-1,"2",,Thuja occidentalis,Get 3,,,Unknown,false,false,Thuja occidentalis
225,,LOYO-1,"6",,Thuja occidentalis,Get height ,,,Unknown ,false,true,Thuja occidentalis
226,,LOYO-1,"14",,Thuja occidentalis,Get height ,,,Unknown,false,true,Thuja occidentalis
227,,LOYO-1,"14.3",,Thuja occidentalis,Get height ,,,Unknown,false,true,Thuja occidentalis
228,,LOYO-1,"2,4",2,Leave comment,Common buckthorn ,,,Unknown,false,true,Other
229,,LOYO-1,"15",6,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
230,,LOYO-1,"11.4",6,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
231,,LOYO-1,"14.3",6,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
232,,LOYO-1,"11,13.3",10,Thuja occidentalis,,,,Unknown,false,true,Thuja occidentalis
233,,LOYO-1,"13.2",10,Thuja occidentalis,,,,Unknown ,false,false,Thuja occidentalis
234,,LOYO-1,"2,3,3,2,4,3,2",5,Leave comment,Common buckthorn ,,,Unknown,false,false,Other
235,,LOYO-1,"13",10,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
236,,LOYO-1,"15.4",10,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
237,,LOYO-1,"13",10,Thuja occidentalis,,,,Unknown,false,true,Thuja occidentalis
238,,LOYO-1,"13.3",7,Thuja occidentalis,,,,Unknown,false,true,Thuja occidentalis
239,,LOYO-1,"11.2",8,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
240,,LOYO-1,"7.8,6",7,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
241,,LOYO-1,"5.6",4,Thuja occidentalis,,,,Unknown,false,true,Thuja occidentalis
242,,LOYO-1,"8.5,6.9",6,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
243,,LOYO-1,"5.1,4",4,Thuja occidentalis,,,,Unknown,false,false,Thuja occidentalis
244,,LOYO-1,"16.7",8,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
245,,LOYO-1,"10.3,4.5,8.8",6.3,Thuja occidentalis,,,,Unknown ,true,true,Thuja occidentalis
246,,LOYO-1,"5.9",4,Thuja occidentalis,,,,Unknown ,false,true,Thuja occidentalis
