fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH
"234",,,"2,3,3,2,4,3,2",5,Leave comment,Common buckthorn ,,,,,
"235",,,"13",10,Thuja occidentalis,,,,Unknown ,,true
"236",,,"15.4",10,Thuja occidentalis,,,,Unknown ,,true
"237",,,"13",10,Thuja occidentalis,,,,,,true
"238",,,"13.3",7,Thuja occidentalis,,,,,,true
"239",,,"11.2",8,Thuja occidentalis,,,,Unknown ,,true
"240",,,"7.8,6",7,Thuja occidentalis,,,,Unknown ,,true
"241",,,"5.6",4,Thuja occidentalis,,,,,,true
"242",,,"8.5,6.9",6,Thuja occidentalis,,,,Unknown ,,true
"243",,,"5.1,4",4,Thuja occidentalis,,,,,,
"244",,,"16.7",8,Thuja occidentalis,,,,Unknown ,,true
"245",,,"10.3,4.5,8.8",6.3,Thuja occidentalis,,,,Unknown ,true,true
"246",,,"5.9",4,Thuja occidentalis,,,,Unknown ,false,true
"247",,,"13",5.2,Thuja occidentalis,,,,Unknown ,,true
"248",,,"15.5",6,Leave comment,Aesculus hippocastanum,,,Unknown,true,true
"249",,,"8, 5, 6, 5, 4",4,Leave comment,Thuya occidentalis ,,,,false,false
"250",,,"8, 8, 5",3.8,Leave comment,Thuya occidentalis,,,Unknown,false,false
"251",,,"10,4,4,6,5",4,Leave comment,Thuya occidentalis,,,Unknown,false,false
"252",,,"2,4,5,8,4,8",4,Leave comment,Thuya occidentalis ,,,Unknown ,false,false
"253",,,"2,2,5,5,7",4,Leave comment,Thuya occidentalis,,,Unknown ,false,false
"254",,,"7,7,5,2",4,Leave comment,Thuya occidentalis,,,Unknown,false,false
"255",,,"3,1,3,4,3,3,3",2.65,Leave comment,Hydrangea paniculata,,,Unknown ,false,true
"256",,,"4,3,2,2,4,2",3,Leave comment,Hydrangea paniculatum,,,Unknown ,false,true
"257",,,"3,2,3,3,4,2,3,2,2,2",3,Leave comment,Hydrangea paniculatum,,,Unknown,false,true
"258",,,"3,2,3,5,2,2",3.2,,Hydrangea paniculatum ,,,,false,true
"259",,,"4,2,4,5,2,3,2",3,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,true
"260",,,"3,2,3,4,2,3,2,5,3",3,,Hydrangea paniculatum ,,,,false,true
"261",,,"2,1,2,3,2,2",2.5,Leave comment,Hydrangea paniculatum,,,Unknown ,false,true
"262",,,"8,3,5,2,1,1",4,Thuja occidentalis,,,,Unknown ,false,false
"263",,,"3,10,7,3,2",3.8,Thuja occidentalis,,,,Unknown ,false,false
"264",,,"5,5,2,3",3.7,Thuja occidentalis,,,,Unknown ,false,false
"265",,,"2,2,3,4,3",2,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false
"266",,,"2,3,3,2",2.5,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false
"267",,,"1,1,2,1,2,2",2.3,,Hydrangea paniculatum ,,,,false,false
"268",,,"3,2,2,3,2",2.7,,Hydrangea paniculatum ,,,,false,false
"269",,,"2,1,1,1,1,2",2.7,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false
"270",,,"3,3,1,1,2",2.5,Leave comment,Hydrangea paniculatum ,,,,false,false
"271",,,"1,1,1,1,1,1",2.3,Leave comment,Hydrangea paniculatum ,,,,false,false
"272",,,"2,2,2,1,1,1,2",2.3,,Hydrangea paniculatum ,,,,false,false
"273",,,"1,2,2",2,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false
"274",,,"2,1,1,2,2,2,1",2,Leave comment,Hydrangea paniculatum ,,,Unknown ,false,false
"275",,,"1,1,1,1,1",2,,Hydrangea paniculatum ,,,,false,false
"276",,,"7.6",3.8,Quercus macrocarpa,,,,Unknown,true,true
"277",,,"30,4,2,3,4,3,4,2,1,4,1,4,3,3,4,1,3,3,3,2,2,1,1,1,3",9.6,Quercus robur,,,,Unknown ,true,false
"278",,,"10",11.5,Thuja occidentalis,,,,Unknown ,false,true
"279",,,"7.9",11.5,Thuja occidentalis,,,,Unknown ,true,true
"280",,,"12.3",,Thuja occidentalis,,,,Unknown,,true
"281",,,"3",11.5,Thuja occidentalis,,,,Unknown ,false,true
"282",,,"5.8",11.5,Thuja occidentalis,,,,Unknown ,false,true
"283",,,"5",11.5,Thuja occidentalis,,,,Unknown,false,true
"284",,,"13.3,2,2",11.5,Thuja occidentalis,,,,Unknown ,false,false
"285",,,"8.9",11.5,Thuja occidentalis,,,,Unknown ,false,true
"286",,,"7.8",11.5,Thuja occidentalis,,,,Unknown ,false,true
"287",,,"14",11.5,Thuja occidentalis,,,,Unknown ,false,true
"288",,,"21.8,1,1,1.5,1,0.5,2,0.5,0.5,2,2,1,1,1,3,2,2,1,3,1.5,0.5",9.6,Quercus bicolor,,,,,false,false
"289",,,"5",4.1,Acer rubrum,,,,Unknown ,true,true
"290",,,"18.8",7.9,Gymnocladus dioicus,,,,Unknown ,true,true
"291",,,"38.9",19.9,Acer platanoides,,,,Campus,true,true
"292",,,"29.3",21.7,Quercus rubra,,,,Campus,true,true
"293",,,"36.2",14.5,Quercus rubra,,,,Campus,true,true
"294",,,"38",18.4,Quercus rubra,Check sp diff from others,,,Campus,true,true
"295",,,"49.75",12.9,Malus sp.,,,,Campus,true,true
"296",,,"25.5",10.6,Acer platanoides,,,,Campus,true,true
"297",,,"30.6",9.9,Acer platanoides,,,,Campus,true,true
"298",,,"32.9",13.9,Acer platanoides,,,,Campus,true,true
"299",,,"74.5",26,Acer saccharinum,,,,Campus,true,true
"300",,,"45",14.3,Acer saccharinum,,,,Campus,true,true
"301",,,"65",23,Acer saccharinum,,,,Campus,true,true
"302",,,"35.7",18,Acer saccharinum,,,,Campus ,true,true
"303",,,"53.9",33,Acer saccharinum,,,,Campus ,true,true
"304",,,"47.4",24.2,Acer platanoides,,,,Campus ,true,true
"305",,,"69.2",19.6,Acer saccharinum,,,,Campus ,true,true
"306",,,"22.55",11,Acer platanoides,,,,Campus ,true,true
"307",,,"124.5",31.2,Acer saccharinum,,,,Campus ,true,true
"308",,,"69.5",20.7,Acer saccharinum,,,,Campus ,true,true
"309",,,"86.9",15.3,Acer platanoides,,,,Campus ,true,true
"310",,,"30",8,Malus baccata,,,,Campus ,false,false
"311",,,"3,5,4,3,4,2",4,Leave comment,"Taxus cuspidata, hedge, x11",,,Campus ,false,false
"312",,,"30",9,Leave comment,Malus huphensis,,,Campus,false,false
"313",,,"68.6",13.1,Acer platanoides,,,,Campus,false,true
"314",,,"10,10,5,5",8,Syringa vulgaris,Could ask Emma to double check sp,,,Unknown ,false,false
"315",,,"60",13.1,Gleditsia triacanthos,,,,Unknown ,false,false
"316",,WILF-1,"10",5,Thuja occidentalis,,,,Unknown,false,false
"317",,WILF-1,"8",5,Thuja occidentalis,,,,Unknown,false,false
"318",,WILF-1,"8,6",5,Thuja occidentalis,,,,Unknown,false,false
"319",,WILF-1,"10",5,Thuja occidentalis,,,,Unknown,false,false
"320",,WILF-1,"5",3.3,Thuja occidentalis,,,,Unknown,false,true
"321",,WILF-1,"6",4,Thuja occidentalis,,,,Unknown,false,false
"322",,WILF-1,"10",5,Thuja occidentalis,,,,Unknown,false,false
"323",,WILF-1,"8",4.5,Thuja occidentalis,,,,Unknown,false,false
"324",,WILF-1,"8",10,Thuja occidentalis,,,,Unknown,false,false
"325",,WILF-1,"8",10,Thuja occidentalis,,,,Unknown,false,false
"326",,MARQ-1,"10",7.2,Ulmus sp.,,,,Unknown ,true,false
"327",,MARQ-2,"3.5",3,Quercus bicolor,,,,Unknown ,true,true
"328",,ZOTI-1,"5, 3, 2, 2, 3, 2 5, 4, 3, 3",3.5,Leave comment,Lonicera spp.,,,Unknown,false,false
"329",,ZOTI-2,"20, 20, 7",11.9,Leave comment,Dead standing,,,Unknown ,false,false
"330",,ZOTI-2,"20, 10",10,Populus tremuloides,,,,Unknown ,false,false
"331",,ZOTI-2,"15",8,Ulmus americana,,,,Unknown ,false,false
"332",,ZOTI-2,"10",8,Ulmus americana,,,,Unknown ,false,false
"333",,ZOTI-2,"17",14,Populus tremuloides,,,,Unknown ,false,false
